City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
122,Zwedru,80.24,broken clouds,6.0667,-8.1281,Elijah Worjloh
123,Sokoto,85.15,light rain,13.0609,5.239,Shukura Coral Hotel
125,Richards Bay,57.15,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
126,Pitimbu,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
127,Lagoa,71.08,few clouds,39.05,-27.9833,Casa Das Faias
128,Thompson,74.05,broken clouds,55.7435,-97.8558,Burntwood Hotel
129,Krasnoselkup,59.74,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
130,Oranjemund,66.58,clear sky,-28.55,16.4333,The Fisherman's Cove
132,Birin,64.96,few clouds,26.8865,88.0718,Sangam hotel and lodge
133,Ammapettai,86.68,broken clouds,10.8,79.3333,Sangam fast food
134,Luderitz,64.58,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
135,Likhoslavl,61.5,overcast clouds,57.1275,35.464,Pirani Hotel
136,Georgetown,85.89,few clouds,5.4112,100.3354,Cititel Penang
137,Kosh-Agach,56.34,overcast clouds,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
138,Coihaique,41.9,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
139,Carnarvon,66.22,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
140,Jorpeland,72.1,broken clouds,59.0225,6.0408,Verkshotellet Jørpeland
141,Cockburn Town,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
142,Balkanabat,87.58,clear sky,39.5108,54.3671,Nebitchi Hotel
143,San Juan,56.91,broken clouds,-31.5375,-68.5364,Hotel Provincial
144,Kyrksaeterora,70.92,broken clouds,63.2906,9.0891,Hotel Cozy Hemne
146,Clyde River,39.18,overcast clouds,70.4692,-68.5914,Qamaq Hotel
147,Pangnirtung,48.04,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
148,Neyshabur,88.84,clear sky,36.2133,58.7958,Amiran Hotel
149,Skibbereen,71.4,scattered clouds,51.55,-9.2667,The West Cork Hotel
150,Conceicao Do Araguaia,95.63,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
151,Ambilobe,69.13,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
152,Bonavista,67.12,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
153,Klaksvik,50.92,broken clouds,62.2266,-6.589,Airbnb rooms
154,Toamasina,67.91,clear sky,-18.1667,49.3833,Hotel H1
155,Tazovskiy,51.53,overcast clouds,67.4667,78.7,TazHostel
156,Kavaratti,81.68,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
157,Cubuk,76.96,clear sky,40.2386,33.0322,Çubuk Öğretmenevi
158,Pancas,81.59,scattered clouds,-19.225,-40.8514,Hotel Acácia
159,Ancud,46.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
160,Muros,74.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
161,Teofilo Otoni,74.73,scattered clouds,-17.8575,-41.5053,Hotel Nobre Palace
162,Nkoteng,73.49,light rain,4.5167,12.0333,Résidence OOCLO-Cannelle
163,Saint George,90.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
164,Florianopolis,78.4,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
