City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Longyearbyen,SJ,2021-07-23 00:41:11,78.2186,15.6401,44.44,81,75,18.41
157,Victoria,HK,2021-07-23 00:39:47,22.2855,114.1577,88.32,84,58,1.99
158,Meulaboh,ID,2021-07-23 00:47:42,4.1363,96.1285,78.26,83,57,2.39
159,Maragogi,BR,2021-07-23 00:41:19,-9.0122,-35.2225,73.53,83,13,11.12
160,Vostok,RU,2021-07-23 00:44:55,46.4856,135.8833,81.57,62,82,2.93
161,Hay River,CA,2021-07-23 00:43:08,60.8156,-115.7999,58.98,94,90,10.36
162,Tuktoyaktuk,CA,2021-07-23 00:39:46,69.4541,-133.0374,51.8,93,90,16.11
163,Beni,CD,2021-07-23 00:47:43,0.5,29.4667,61.66,94,42,1.77
164,Maningrida,AU,2021-07-23 00:47:43,-12.0667,134.2667,81.39,54,26,5.12
165,Ngawen,ID,2021-07-23 00:47:43,-7.0032,111.3129,79.65,73,12,5.75
166,Fatsa,TR,2021-07-23 00:47:44,41.0278,37.5014,75.0,86,34,6.82
167,Tucuman,AR,2021-07-23 00:38:50,-26.8241,-65.2226,59.0,63,0,4.61
168,Jutai,BR,2021-07-23 00:44:03,-5.1833,-68.9,75.76,66,34,1.57
169,Asosa,ET,2021-07-23 00:47:44,10.0667,34.5333,59.54,94,100,4.14
170,Mahebourg,MU,2021-07-23 00:40:27,-20.4081,57.7,70.09,73,40,17.27
171,Blythe,US,2021-07-23 00:47:45,33.6103,-114.5964,109.85,20,75,14.97
172,Sao Filipe,CV,2021-07-23 00:43:50,14.8961,-24.4956,74.26,87,14,7.11
173,Hualmay,PE,2021-07-23 00:44:53,-11.0964,-77.6139,64.08,83,11,9.69
174,Catia La Mar,VE,2021-07-23 00:47:45,10.6038,-67.0303,82.49,94,100,11.5
175,Dodola,ET,2021-07-23 00:47:46,6.9833,39.1833,53.91,88,94,2.51
176,Piombino,IT,2021-07-23 00:47:46,42.9348,10.5221,77.05,85,0,1.99
177,Port Hardy,CA,2021-07-23 00:40:47,50.6996,-127.4199,60.98,67,75,5.75
178,Olafsvik,IS,2021-07-23 00:42:18,64.8945,-23.7142,52.11,97,100,11.3
179,Port Blair,IN,2021-07-23 00:43:29,11.6667,92.75,82.38,85,86,21.18
180,Sarata,UA,2021-07-23 00:47:47,46.0197,29.6657,62.38,66,0,9.4
181,Ranong,TH,2021-07-23 00:47:47,9.9658,98.6348,84.13,84,100,13.47
182,Esperance,AU,2021-07-23 00:40:24,-33.8667,121.9,53.44,64,100,23.94
183,Rio Gallegos,AR,2021-07-23 00:40:51,-51.6226,-69.2181,39.25,60,0,13.8
184,Georgetown,MY,2021-07-23 00:40:11,5.4112,100.3354,83.89,81,20,1.99
185,Narsaq,GL,2021-07-23 00:40:55,60.9167,-46.05,48.42,95,100,6.55
186,Iguape,BR,2021-07-23 00:47:48,-24.7081,-47.5553,59.85,86,9,5.39
187,Luderitz,NA,2021-07-23 00:39:49,-26.6481,15.1594,55.35,35,18,7.31
188,Tiksi,RU,2021-07-23 00:39:41,71.6872,128.8694,45.46,77,100,8.41
189,Meiningen,DE,2021-07-23 00:47:48,50.5679,10.4152,61.32,72,0,2.24
190,Tuatapere,NZ,2021-07-23 00:40:31,-46.1333,167.6833,49.82,65,17,5.39
191,Arthur,US,2021-07-23 00:46:21,39.7148,-88.4723,82.58,84,0,3.85
192,Gasa,PS,2021-07-23 00:47:49,31.5,34.4667,76.98,75,71,8.1
193,Saint-Georges,GD,2021-07-23 00:45:15,12.0564,-61.7485,82.08,83,20,6.91
194,Te Anau,NZ,2021-07-23 00:41:09,-45.4167,167.7167,48.16,72,8,2.08
195,Perdoes,BR,2021-07-23 00:43:33,-21.0908,-45.0914,55.22,71,0,6.55
196,Nome,US,2021-07-23 00:41:27,64.5011,-165.4064,51.17,66,75,19.57
197,Sinnamary,GF,2021-07-23 00:40:55,5.3833,-52.95,78.55,87,67,9.17
198,Cedar City,US,2021-07-23 00:47:50,37.6775,-113.0619,67.17,77,90,0.0
199,Teahupoo,PF,2021-07-23 00:47:50,-17.8333,-149.2667,76.96,68,1,10.6
200,Tabas,IR,2021-07-23 00:47:51,33.5959,56.9244,87.87,14,1,4.05
201,Faanui,PF,2021-07-23 00:40:39,-16.4833,-151.75,78.01,69,10,14.54
202,Klaksvik,FO,2021-07-23 00:41:20,62.2266,-6.589,49.12,92,88,9.82
203,Bridlington,GB,2021-07-23 00:47:51,54.0831,-0.1919,62.29,90,8,1.14
204,Nanortalik,GL,2021-07-23 00:39:33,60.1432,-45.2371,44.31,92,100,7.2
205,Dunda,TZ,2021-07-23 00:47:52,-8.1167,34.25,58.46,88,0,3.38
206,Caravelas,BR,2021-07-23 00:40:22,-17.7125,-39.2481,70.59,64,79,7.96
207,College,US,2021-07-23 00:41:12,64.8569,-147.8028,80.58,41,75,8.05
208,Los Llanos De Aridane,ES,2021-07-23 00:40:44,28.6585,-17.9182,69.55,85,0,23.02
209,Talnakh,RU,2021-07-23 00:40:45,69.4865,88.3972,56.88,69,100,1.7
210,Lubango,AO,2021-07-23 00:47:52,-14.9172,13.4925,52.09,22,8,5.97
211,Marsh Harbour,BS,2021-07-23 00:41:05,26.5412,-77.0636,82.98,75,100,8.28
212,Cherskiy,RU,2021-07-23 00:40:07,68.75,161.3,61.95,68,100,0.98
213,Skwierzyna,PL,2021-07-23 00:47:53,52.5991,15.5065,59.68,78,100,1.34
214,Ulladulla,AU,2021-07-23 00:43:10,-35.35,150.4667,55.87,56,96,5.53
215,Zaigrayevo,RU,2021-07-23 00:47:53,51.8336,108.2703,69.06,57,0,5.44
